         0 members   1011.14M     0.2s
 5,000,000 members    947.14M    15.3s
10,000,000 members    951.23M    29.8s
15,000,000 members      1.33G    60.5s
20,000,000 members      1.98G    98.7s
25,000,000 members      2.25G   138.2s
30,000,000 members      2.65G   173.9s
35,000,000 members      3.55G   212.0s
40,000,000 members      3.95G   252.7s
45,000,000 members      4.10G   293.5s
done: 50,000,000 members, 4.50G, 329.9s
